id,calories,proteins,fat,carbohydrate,name,image
89,300.0,24.0,20.7,4.5,Bebek daging goreng,https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg
90,65.0,1.1,5.2,3.5,Beberuk,https://s.kaskus.id/images/2019/11/21/10218416_20191121013811.jpg
91,258.0,10.6,9.5,32.5,Beef burger,https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg
92,151.0,8.6,3.1,22.3,Beef teriyaki masakan,https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg
93,132.0,9.8,1.1,20.7,Beef yakiniku masakan,https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg
94,116.0,11.9,4.9,6.1,Bekasam,https://assets-a1.kompasiana.com/items/album/2021/11/13/bekasam-kuliner-fermentasi-khas-wong-sumsel-shd-1-removebg-preview-618f54d2c26b771c5c083212.png
95,78.0,11.4,2.0,3.6,Bekasang,https://www.surabayapagi.com/po-content/photo/big/a782bead716a8dbee3762c8c79ec4e54.jpg
96,131.0,20.2,4.3,2.8,Belibis daging segar,https://assets.tokko.io/2bbdc42e-f0c6-494e-ae09-9d177af2ec61/products/images/cc352d35-2818-45ed-9a63-03f4fbd2247b
97,36.0,0.4,0.4,8.8,Belimbing,https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg
98,145.0,1.2,0.4,34.2,Belitung talas kukus,https://asset-a.grid.id/crop/0x0:0x0/700x0/photo/2020/06/29/1496174786.jpg
99,417.0,25.9,19.4,32.0,Belut goreng,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg
